id,title
1,
2,торты на заказ
3,греческая
4,постное меню
5,блюда из дичи
6,грузинская
7,вегетарианские блюда
8,китайская
9,кавказская
10,средиземноморская
11,стейки
12,спешелти кофе
13,бурятская
14,вегетарианская
15,армянская
16,коктейли
17,шаверма
18,сладости
19,азиатская
20,шотландская
21,абхазская
22,аргентинская
23,сербская
24,стритфуд
25,шаурма
26,ирландская
27,украинская
28,пицца
29,бразильская
30,азербайджанская
31,ливанская
32,американская
33,вьетнамская
34,австрийская
35,суши
36,немецкая
37,боулы
38,смешанная
39,бургеры
40,татарская
41,крафтовое пиво
42,израильская
43,блины
44,чешская
45,бельгийская
46,испанская
47,европейская
48,мексиканская
49,рыба и морепродукты
50,корейская
51,французская
52,скандинавская
53,русская
54,восточная
55,итальянская
56,норвежская
57,белорусская
58,десерты
59,узбекская
60,рамен
61,арабская
62,авторская
63,халяльная
64,устрицы
65,турецкая
66,крабы
67,индийская
68,латиноамериканская
69,шашлыки
70,тайская
71,пончики
72,кубинская
73,закуски
74,английская
75,японская
