id,title,rating_number,rating_text,reviews_count,avg_check,type
42037,Палермо,8.8,Отлично,5,750,1
35635,Burger Club,8.7,Отлично,1,700,2
31421,Obed Bufet,8.4,Отлично,13,700,3
35061,Сущевский двор,10.0,Идеально,2,800,3
30719,Prime,7.6,Хорошо,7,700,3
40727,Поварская лавка,10.0,Идеально,22,800,3
40976,Bloom-n-Brew,9.5,Идеально,2,500,4
31779,Кружка,7.4,Хорошо,5,700,5
42572,ABC Coffee Roasters,8.9,Отлично,4,100,4
39677,Чихо,10.0,Идеально,2,500,3
33916,Coffeeshop Company,9.8,Идеально,3,700,4
40609,Косой Маркс,5.4,Нормально,3,500,5
36090,Кулинариум,6.0,Неплохо,1,700,3
33611,Шантимэль,6.0,Неплохо,1,700,6
35762,Glowsubs,6.0,Неплохо,2,700,3
31189,Штолле,6.0,Неплохо,2,700,3
39749,Surf Coffee,7.1,Хорошо,2,500,4
38022,Pizza Hut,6.3,Неплохо,1,800,1
37847,Table,6.0,Неплохо,2,500,3
32918,Ваби-саби,6.0,Неплохо,2,700,3
43876,Raw to Go,6.2,Неплохо,2,500,7
41756,Три правила,6.7,Неплохо,2,250,3
38510,OneBucks Coffee,6.6,Неплохо,3,300,4
39167,Daily Coffee,6.2,Неплохо,2,500,4
36156,Cinnabon,6.7,Неплохо,1,700,6
31449,Costa Coffee,6.7,Неплохо,1,700,4
35502,Sattva,6.7,Неплохо,6,700,3
35630,Пян-се,6.7,Неплохо,2,700,2
41237,Bright Israeli Grill,6.5,Неплохо,3,800,3
37338,Burger Heroes,6.5,Неплохо,8,700,8
30731,Coffee Bean,6.9,Неплохо,2,700,4
37956,Широкую на широкую,7.0,Хорошо,2,400,5
30878,Чебуречная Дружба,6.5,Неплохо,5,700,3
45307,Циники,6.8,Неплохо,3,400,4
42375,Торнадо,7.3,Хорошо,6,200,9
40043,Тат & Бургер,7.1,Хорошо,3,700,3
37493,Obed Bufet,7.1,Хорошо,5,700,3
40303,Волчья стая,6.7,Неплохо,6,700,5
33806,Додо-пицца,5.3,Нормально,20,700,1
30777,Prawns,7.7,Хорошо,4,700,3
35564,Killfish,7.2,Хорошо,5,700,5
37981,Вареничная №1,7.2,Хорошо,2,800,3
42071,Ракета,6.0,Неплохо,4,400,8
39076,Крапива,6.9,Неплохо,8,500,5
33195,Му-му,10.0,Идеально,3,700,3
33351,Варка,9.0,Идеально,3,700,5
35523,Beermarket,7.5,Хорошо,3,700,5
44669,Точка доступа,9.4,Идеально,32,800,3
42263,Boroda,8.6,Отлично,17,600,5
46068,Империя пиццы и суши,9.6,Идеально,7,700,2
45136,Falafel Bro,9.9,Идеально,3,600,3
44209,Токио Рамен,10.0,Идеально,2,750,3
42881,Журавли,8.7,Отлично,7,600,5
38876,Lights Cafe,9.1,Идеально,8,800,3
30960,Starbucks,7.9,Хорошо,8,700,4
37862,Parka,9.2,Идеально,2,500,5
44613,Izumi,9.0,Идеально,4,600,2
46240,Крендель,9.0,Идеально,11,700,10
46430,Крепкое & Хмельное,10.0,Идеально,8,250,5
45286,11/1,10.0,Идеально,2,600,3
48142,Raf & Gotovo,10.0,Идеально,2,300,4
33360,Хлеб и вино,9.7,Идеально,11,700,11
39895,Индийская точка,9.0,Идеально,57,600,3
43082,Kult,9.4,Идеально,18,700,12
38661,Хищnik Cтейкs & Burgers,9.0,Идеально,21,730,3
47595,Райдора,9.0,Идеально,21,800,3
46867,Гурманика,9.8,Идеально,3,400,3
37886,Кот Шредингера,7.6,Хорошо,19,700,5
47403,Кнорозов бар,9.8,Идеально,2,400,5
30572,Вай мэ!,9.1,Идеально,73,400,3
39360,Разведка,9.3,Идеально,8,700,5
45325,Boho Lounge,8.8,Отлично,10,700,12
41985,The Bix,10.0,Идеально,2,650,5
33577,Гадкий койот,7.0,Хорошо,9,300,5
42227,Ежик в тумане,7.1,Хорошо,43,650,12
40942,Family Farm Burger,7.9,Хорошо,11,500,8
42377,Спиро,8.0,Отлично,5,600,3
30691,Все твои друзья,7.5,Хорошо,3,700,5
37126,Silver Panda,7.3,Хорошо,5,400,3
39511,Sedelice,7.9,Хорошо,3,600,3
42402,Marketplace,7.3,Хорошо,3,800,2
41691,Муракамэ,8.0,Отлично,4,500,3
30710,Под мухой,7.2,Хорошо,8,700,5
39077,Meat Me,8.1,Отлично,4,700,3
39256,Круассан,8.0,Отлично,1,700,4
43201,Lao Lee Café,8.0,Отлично,2,750,3
38507,Cofix,8.0,Отлично,11,150,3
44568,Shawarma VIP House,7.6,Хорошо,3,600,3
30631,Cook’kareku,7.5,Хорошо,12,800,2
32795,Obed Bufet,8.2,Отлично,3,700,3
38501,Black Star Burger,6.6,Неплохо,20,400,8
30545,Марукамэ,8.0,Отлично,5,700,3
32869,Il giorno,8.3,Отлично,2,800,3
30629,Fruits & Veges,8.0,Отлично,3,700,3
42299,Neon Monkey,7.6,Хорошо,4,800,5
39847,Мэри,8.3,Отлично,7,700,3
39464,Милано,8.4,Отлично,5,500,1
42039,Corneli Pizza,8.3,Отлично,5,700,13
44179,Kab Kao,8.3,Отлично,2,700,3
30770,Grill & Gyros,8.5,Отлично,2,700,3
37109,Эль и стаут,8.4,Отлично,4,700,14
47098,Insider Bar,8.0,Отлично,1,600,5
46005,Антипа,7.7,Хорошо,1,200,4
43204,Макарош,8.7,Отлично,3,800,2
37661,Лепим и варим,8.4,Отлично,5,700,3
30502,Винный базар,8.5,Отлично,2,700,11
30612,Farш,7.4,Хорошо,20,700,8
42103,Chikara,8.7,Отлично,5,700,3
46905,Croco Coffee,7.8,Хорошо,4,150,4
31122,Meating,8.8,Отлично,2,700,3
42985,Lamm's,6.9,Неплохо,9,350,6
32728,Ближние горки,8.7,Отлично,3,700,3
44604,Black Star Gaming Club,8.7,Отлично,2,500,12
44364,Салют,7.3,Хорошо,3,550,3
44301,Дом Плова,8.9,Отлично,3,700,3
46635,Моряк и чайка,6.3,Неплохо,6,300,5
43531,Делюсь душой,7.7,Хорошо,4,200,4
30711,Брусника,7.9,Хорошо,8,700,3
33990,Хинкали Point,8.4,Отлично,2,700,3
36154,Рюмочная,9.0,Идеально,1,700,15
42580,Method Beer & Munchies,9.0,Идеально,3,700,5
43040,Паттерна,8.9,Отлично,10,600,5
43048,Gonzo Lounge,8.8,Отлично,3,800,5
38031,Sos Cafe,8.8,Отлично,111,600,3
41723,Светское кафе,9.2,Идеально,3,650,3
30709,Шоколадное ателье,9.3,Идеально,5,700,6
30528,Энтузиаст,8.5,Отлично,5,700,3
46204,Тебурасика,5.7,Нормально,5,300,5
32605,БониМария,9.1,Идеально,6,800,16
35832,Papa John’s,7.7,Хорошо,14,700,3
31446,McDonald’s,9.5,Идеально,2,700,3
41444,Пончики из детства,9.7,Идеально,6,300,3
30590,Грабли,7.8,Хорошо,23,600,2
39121,Fry Day Cafe,9.7,Идеально,11,800,2
44864,Поминальная трапеза,9.6,Идеально,3,800,16
38875,Карамель,9.6,Идеально,9,800,2
37291,Domino's Pizza,10.0,Идеально,1,700,1
45021,Барка,9.0,Идеально,2,350,15
46480,"Мама, я в Берлине",9.2,Идеально,2,500,3
43863,Greek Street,3.6,Плохо,5,600,7
46259,Рестопаркинг,3.8,Плохо,4,700,17
30594,Воккер,5.3,Нормально,1,700,3
44695,Буше,3.0,Плохо,2,700,3
46241,Underdog,3.8,Плохо,3,350,5
42435,Panda Express,4.7,Посредственно,13,500,3
40121,Братья Крафт,5.3,Нормально,2,500,5
38333,Халасё,5.5,Нормально,2,500,3
36253,KFC на ВДНХ,5.7,Нормально,2,700,3
30583,Чито-Ра,9.8,Идеально,2,700,2
43770,Taco Project,9.8,Идеально,2,500,3
46627,Ikigai,9.6,Идеально,3,600,7
45379,Лакомка,5.3,Нормально,1,400,6
45319,Thali & Dosa,8.7,Отлично,2,700,3
47181,Chik O'Rico,7.6,Хорошо,4,400,3
45652,Клер,10.0,Идеально,2,200,6
45677,Bro.We,7.3,Хорошо,2,350,4
45348,На углях,10.0,Идеально,2,500,3
43869,Mac & Cheese,6.3,Неплохо,2,500,7
44356,Домик в саду,7.2,Хорошо,3,1400,3
42021,Дарбарс,10.0,Идеально,2,1300,2
44177,Georges,1.0,Хуже некуда,2,1500,2
41035,Че хотэли пили-ели,8.9,Отлично,2,1300,2
33075,Панчетта,5.8,Нормально,2,1400,2
42114,4 сыра,6.3,Неплохо,3,1200,3
35498,Valesko,9.1,Идеально,2,1500,2
35255,Dark Patrick’s Pub,5.7,Нормально,3,1500,14
39970,Foood Bazar,7.7,Хорошо,2,900,3
46090,FoodBand,10.0,Идеально,2,1000,13
43546,Hookah Time,10.0,Идеально,2,1500,12
46360,Сыроварня Новая Рига,3.6,Плохо,3,1500,2
47320,Party Hard,6.5,Неплохо,4,1100,18
46547,Latteria 1963,7.5,Хорошо,2,1400,2
44937,Corner Café & Kitchen,9.8,Идеально,2,1200,3
46536,Salumeria Pizzeria,3.0,Плохо,2,1100,1
44183,Жемчуга,8.2,Отлично,2,1500,7
46431,Джи Джи Гриль,5.8,Нормально,2,1250,2
41710,Бегония,6.2,Неплохо,2,1000,3
31101,Beer & Brut,9.8,Идеально,4,1500,10
33408,Кофемания,10.0,Идеально,3,1500,4
32237,City,8.8,Отлично,3,1500,3
46490,Fame,6.7,Неплохо,3,1200,2
30942,Pinch,6.8,Неплохо,8,1500,2
34439,Лав,7.8,Хорошо,8,1500,3
43234,The Dubliner Pub,7.8,Хорошо,2,1400,14
33896,Мишки,7.4,Хорошо,3,1500,5
43085,Сыто Piano,4.0,Посредственно,4,1000,3
32272,Орлов,8.6,Отлично,2,1500,2
46642,Igloobar,8.4,Отлично,69,1500,18
45774,Гейша и супермен,8.7,Отлично,7,1500,5
35590,Маэстро-М,9.2,Идеально,2,1500,2
39507,NewTone,9.3,Идеально,3,1000,3
33526,Марфино,9.0,Идеально,14,1500,17
37339,Lubeer,9.2,Идеально,2,1500,3
30767,Молоко,7.3,Хорошо,9,1500,3
42498,Lure Oyster Bar,9.2,Идеально,2,1500,2
31998,Колхи,9.4,Идеально,12,1500,2
43794,Воробьевы горы,9.4,Идеально,5,1400,2
42753,В окошках,9.5,Идеально,2,900,3
31774,Vienna,9.6,Идеально,8,1500,3
43736,Чи-фань,7.9,Хорошо,5,1350,3
44799,The Бык,7.6,Хорошо,4,900,2
42553,Шу-Шу,9.1,Идеально,25,1200,2
35082,Шардам,9.3,Идеально,8,1500,2
40538,Мариус,9.6,Идеально,6,1300,9
47174,За поводом,10.0,Идеально,2,1500,2
30745,Хачапури,8.5,Отлично,6,1200,2
47445,Соло,9.7,Идеально,5,1500,9
30886,Тануки,10.0,Идеально,12,1500,2
41877,Megobari,9.7,Идеально,3,1200,2
42443,Billy McDaniel,9.9,Идеально,6,1500,14
45825,Остров Lounge,8.3,Отлично,17,1250,19
46052,Level Kitchen,9.8,Идеально,30,900,13
43754,Classica,9.1,Идеально,11,1300,5
43435,Lars Vegans,9.7,Идеально,13,900,2
31452,Baga Bar,8.8,Отлично,61,1200,5
30489,Натахтари,9.0,Идеально,19,1300,2
33346,Киану,9.8,Идеально,8,1500,5
46475,Daily Green,10.0,Идеально,7,1000,4
46157,Дюшес,10.0,Идеально,11,1350,2
46181,Охотка,8.7,Отлично,12,1100,2
38072,Tehnikum,8.5,Отлично,28,1300,3
43916,Библиотека Shisha Lounge,10.0,Идеально,38,1500,12
30887,Йоркшир,7.9,Хорошо,86,1500,14
39207,Мята Lounge,8.0,Отлично,92,1400,12
39199,Victoria & Albert,8.0,Отлично,46,900,5
43705,Хурма-бастурма,9.2,Идеально,14,1100,2
35681,Кусочки,7.9,Хорошо,33,1500,3
40518,Pivzavod77,9.9,Идеально,22,1500,5
44391,Библиотека Shisha Lounge,10.0,Идеально,50,1500,12
44881,Nebar,8.1,Отлично,25,1100,5
43924,Blanc,5.8,Нормально,12,1500,2
46574,Steak It Easy,10.0,Идеально,24,1500,2
40527,Пивбар Коломенское,9.8,Идеально,5,1100,5
36882,Мирадж,9.3,Идеально,8,1500,2
31297,Счастье на крыше,7.3,Хорошо,14,1500,2
37782,Loft Men’s Club,9.3,Идеально,2,1000,9
44718,Хинкали & Vino,9.9,Идеально,30,1500,20
44044,Smoke Relax,9.8,Идеально,8,1500,12
45146,Bon Club,10.0,Идеально,30,1500,2
30591,I Like Wine,9.2,Идеально,3,1500,11
46808,She,7.0,Хорошо,13,1500,2
30552,Fresh,8.7,Отлично,6,1400,2
39356,Друзья,9.3,Идеально,3,1000,5
42482,Буфетъ Чайковский,9.7,Идеально,3,1100,3
37158,Братья Караваевы,5.5,Нормально,5,1500,21
41225,Pioppo Albero,9.2,Идеально,11,1500,2
43555,Праймбиф-бар,9.0,Идеально,5,1500,2
42575,Хачапури и вино,6.8,Неплохо,21,950,3
44862,Shortlist. Books & Spirits,8.4,Отлично,5,1400,5
42760,Очаг,9.8,Идеально,4,1200,3
31270,Paulaner Bräuhaus,9.0,Идеально,8,1500,5
31054,Пив & Ко,8.9,Отлично,3,1500,2
38423,Too Much,10.0,Идеально,9,1300,5
43476,Лесное,7.8,Хорошо,20,1100,3
41993,Manana,9.6,Идеально,54,1200,2
35976,Зеленое яблоко,9.7,Идеально,3,1500,2
40954,Ku,9.7,Идеально,10,1500,2
41057,ExitGames,9.7,Идеально,7,900,3
44432,Le Petit Paris,10.0,Идеально,11,1300,2
44530,ID Café,9.2,Идеально,18,900,3
35931,Джорджия,10.0,Идеально,4,1500,3
31165,Джон Донн,7.9,Хорошо,6,1100,14
41021,Шишка Lounge,9.7,Идеально,3,1100,3
46072,Hide in LA5,9.9,Идеально,3,1400,12
45193,Grill Grad,10.0,Идеально,2,1100,2
31709,Султан,9.4,Идеально,14,1500,2
46601,Белая веранда,10.0,Идеально,3,1200,20
48568,Will Taste,10.0,Идеально,2,1300,3
31324,Beverly Hills Diner,9.5,Идеально,117,1500,3
44043,Corner Café & Kitchen,9.5,Идеально,8,1200,3
31281,Тарас Бульба,9.4,Идеально,21,950,2
31072,Tap & Barrel Pub,9.1,Идеально,7,1500,14
39721,Мегрелия,9.6,Идеально,10,1200,2
44947,Just a Pasta,10.0,Идеально,4,1100,2
48224,Il Патио,10.0,Идеально,3,1500,2
43911,Jobs. Food & Wine,10.0,Идеально,3,1400,2
42421,Amarena,10.0,Идеально,10,1200,2
43612,Tinta,10.0,Идеально,3,1300,2
47020,Alma,10.0,Идеально,3,1400,2
43798,Причал моряка,9.8,Идеально,3,1100,3
44776,Ели сацебели,9.8,Идеально,10,1200,3
39272,Долина солнца,9.7,Идеально,6,1400,2
46987,Bur,10.0,Идеально,5,1100,5
46195,Руки ВВерх! Бар,10.0,Идеально,6,1000,5
42355,Benedict,9.5,Идеально,6,1200,2
44537,Москальян,9.9,Идеально,7,900,12
46988,Bur,9.9,Идеально,8,1100,5
44882,Einstein Lounge,9.4,Идеально,25,1500,12
47929,Barcode,10.0,Идеально,6,1400,5
31460,Шоколадница,8.6,Отлично,8,1500,4
41273,HookahPlace Профсоюз,9.8,Идеально,40,1300,12
45982,Все сезоны,9.2,Идеально,14,1000,2
43393,Adria Mare,9.5,Идеально,11,1500,2
37474,Florentini Country Café,10.0,Идеально,2,1500,2
35676,Гамбринус,9.2,Идеально,15,1500,2
31180,Авокадо,9.1,Идеально,3,1500,3
42374,Tesla,10.0,Идеально,2,1000,3
33285,Тапчан,9.4,Идеально,11,1500,2
42438,Ракушка,9.3,Идеально,4,1400,2
35679,Совет в Филях,10.0,Идеально,7,1500,2
41616,Лес,10.0,Идеально,2,1200,5
33717,Перец & Мята,10.0,Идеально,2,1400,3
36282,Largo,9.3,Идеально,5,1500,2
39935,Душевная мадам,10.0,Идеально,2,1000,3
43468,Жаровня,10.0,Идеально,2,1200,2
42782,Вкус & цвет,10.0,Идеально,8,900,3
30506,Батони,9.6,Идеально,7,1000,3
33826,Добрыня,10.0,Идеально,22,1500,2
30982,8 Oz,9.5,Идеально,5,1500,3
48066,Siharuli,8.9,Отлично,6,1400,2
37712,Touché,9.7,Идеально,3,1400,11
34929,Маска,9.5,Идеально,3,1400,3
42087,Prscco Bar,6.8,Неплохо,4,1400,5
47367,Casa Rosa,9.5,Идеально,6,1500,2
39657,Китайские новости,9.3,Идеально,4,1500,2
45484,Бакинский рай,9.8,Идеально,2,1300,2
40136,Italia Bar,9.7,Идеально,7,1300,2
37675,Valenok,7.2,Хорошо,29,1500,2
46576,Хлеб и вино,10.0,Идеально,3,1200,5
37939,Винный базар,10.0,Идеально,2,1000,11
42061,Лимонад Loft Bar,10.0,Идеально,12,1000,5
42206,Лермонтов,7.0,Хорошо,3,1300,2
31303,Saperavi Café,9.6,Идеально,41,1500,3
33742,Караван One,9.0,Идеально,2,1500,2
37875,Laduree,9.7,Идеально,2,1000,6
47798,Берег,8.5,Отлично,2,1300,2
41496,Bro & N,7.4,Хорошо,2,1500,2
30774,Квартира 44,8.8,Отлично,3,1500,3
33039,Duckstar's,8.7,Отлично,4,1500,5
39743,Татев,8.1,Отлично,6,1500,2
39892,У дяди Макса,8.7,Отлично,6,1000,2
37068,Сололаки,9.2,Идеально,2,1500,2
35533,Florentini City Café,8.4,Отлично,18,1500,2
30738,Сок,7.9,Хорошо,7,1500,3
44217,Poolroom,8.9,Отлично,6,1500,5
35709,Одесса-мама,8.8,Отлично,4,1200,2
36283,Никола Тесла,9.1,Идеально,5,1500,2
42708,P4B Lounge Bar,8.7,Отлично,5,1000,12
30646,Лига пап,8.6,Отлично,7,1500,22
37004,Mr. Mishka,8.7,Отлично,7,1500,12
31239,Corner Burger,8.9,Отлично,4,1500,8
30891,Menza,9.2,Идеально,10,1100,3
35685,Каспий,9.1,Идеально,3,1500,2
44242,Заря,9.2,Идеально,2,1100,2
45099,Bizone Hookah ВДНХ,9.0,Идеально,3,1200,12
31299,Conversation,7.6,Хорошо,3,1500,3
36118,I'm Smoking,9.0,Идеально,7,1200,12
31035,Восточный квартал,8.8,Отлично,3,1500,3
46476,Bazar Mangal,8.1,Отлично,4,1500,2
30746,Венеция,9.0,Идеально,2,1500,2
39806,Абрау-Дюрсо,9.3,Идеально,4,1200,11
33230,Fumisawa Sushi,8.7,Отлично,4,1500,2
46190,Усадьба в Юрлово,8.8,Отлично,2,1300,2
38859,Rose Bar,8.9,Отлично,5,1500,2
31210,Панчо-пицца,9.1,Идеально,5,1500,1
37872,Оттепель,8.3,Отлично,17,1500,2
31401,St Peter's & St Anton,8.9,Отлично,3,1500,14
34819,Караоке Х.О,9.2,Идеально,4,1100,2
31593,Ёрш,9.0,Идеально,10,1500,5
44092,Great Room Moscow,9.3,Идеально,4,1400,2
41173,Нью-Йорк пицца и гриль,9.3,Идеально,5,1500,2
35752,White Hart Pub,8.9,Отлично,5,1500,14
34658,Хинкальный дом Арго,9.2,Идеально,4,1500,3
43244,Teika Boom,5.7,Нормально,19,1000,17
30909,Breakfast Café,8.7,Отлично,5,1500,3
35749,Сказка,8.7,Отлично,2,1500,2
39103,Хищnik Стейкs & Burgers,9.1,Идеально,11,860,3
43667,Сова,9.1,Идеально,11,1000,12
35516,Подмосковные вечера,9.4,Идеально,20,1100,2
36191,Новорижская застава,9.3,Идеально,3,1500,2
36226,Paul,8.8,Отлично,5,1100,3
30618,Мадам Галифе,9.3,Идеально,2,1500,2
44348,Кухня Полли,9.2,Идеально,2,1300,2
38018,Лен,8.6,Отлично,9,1500,2
42330,Blush Wine Bar,9.2,Идеально,2,1500,10
45651,Бир-хаус,8.0,Отлично,7,1500,14
40993,Андерсон,9.5,Идеально,3,1500,3
36070,Blueberry Haze,9.4,Идеально,7,1500,12
30564,Кондитерская «Пушкин»,9.1,Идеально,6,1500,3
32340,А где я?!,9.3,Идеально,5,1500,5
46275,19/90,9.5,Идеально,2,1100,19
32742,Temple Bar,9.3,Идеально,2,1400,5
43637,Shima Sushi Bar,9.5,Идеально,7,1000,2
47695,Green Park Sokolniki,7.6,Хорошо,3,1100,3
31533,Наш двор,9.3,Идеально,3,1500,2
43425,Котельная,8.3,Отлично,6,1500,5
41427,Практика by Darvin,9.0,Идеально,3,850,5
43335,Виновники,10.0,Идеально,15,1500,2
31061,Дом 12,8.0,Отлично,7,1500,10
46765,эZo,8.6,Отлично,15,1000,2
45108,Кубдари,10.0,Идеально,2,1000,2
45291,Мята Platinum Olimp,10.0,Идеально,25,1300,12
43922,Plov Project,8.5,Отлично,27,1300,2
