id,id_restourant,id_cuisines
1,42037,европейская
2,42037,пицца
3,42037,суши
4,35635,американская
5,31421,европейская
6,31421,смешанная
7,35061,кавказская
8,35061,русская
9,30719,европейская
10,40727,европейская
11,40727,итальянская
12,40976,европейская
13,31779,европейская
14,42572,сладости
15,39677,азиатская
16,39677,китайская
17,33916,европейская
18,33916,сладости
19,40609,стритфуд
20,40609,крафтовое пиво
21,36090,европейская
22,36090,русская
23,33611,торты на заказ
24,33611,сладости
25,35762,американская
26,31189,европейская
27,31189,русская
28,38022,европейская
29,38022,итальянская
30,38022,пицца
31,37847,европейская
32,32918,японская
33,32918,суши
34,32918,вегетарианские блюда
35,43876,вегетарианская
36,41756,европейская
37,38510,европейская
38,38510,сладости
39,39167,сладости
40,36156,американская
41,31449,закуски
42,31449,сладости
43,35502,вегетарианская
44,35502,вегетарианские блюда
45,35630,корейская
46,41237,израильская
47,41237,восточная
48,41237,шаурма
49,41237,арабская
50,37338,европейская
51,37338,стритфуд
52,37338,крафтовое пиво
53,37338,бургеры
54,37338,американская
55,30731,сладости
56,37956,европейская
57,37956,сербская
58,30878,восточная
59,45307,вегетарианская
60,45307,бургеры
61,42375,закуски
62,40043,европейская
63,40043,татарская
64,37493,европейская
65,37493,смешанная
66,40303,бургеры
67,40303,крафтовое пиво
68,40303,американская
69,40303,закуски
70,33806,европейская
71,33806,итальянская
72,33806,пицца
73,30777,средиземноморская
74,35564,европейская
75,37981,русская
76,37981,украинская
77,42071,стритфуд
78,42071,бургеры
79,39076,крафтовое пиво
80,39076,закуски
81,33195,европейская
82,33195,смешанная
83,33195,суши
84,33195,русская
85,33351,крафтовое пиво
86,35523,европейская
87,35523,крафтовое пиво
88,44669,европейская
89,44669,вегетарианские блюда
90,42263,смешанная
91,42263,европейская
92,42263,бургеры
93,42263,крафтовое пиво
94,46068,смешанная
95,46068,стейки
96,46068,пицца
97,46068,бургеры
98,46068,итальянская
99,46068,азиатская
100,45136,вегетарианская
101,45136,стритфуд
102,45136,шаурма
103,45136,бургеры
104,44209,японская
105,44209,рамен
106,44209,суши
107,42881,русская
108,42881,коктейли
109,38876,европейская
110,30960,европейская
111,37862,европейская
112,37862,крафтовое пиво
113,37862,стейки
114,37862,бургеры
115,44613,азиатская
116,44613,японская
117,46240,европейская
118,46240,смешанная
119,46430,закуски
120,45286,европейская
121,48142,европейская
122,48142,десерты
123,33360,европейская
124,39895,индийская
125,43082,европейская
126,43082,крафтовое пиво
127,38661,европейская
128,38661,бургеры
129,38661,крафтовое пиво
130,38661,вегетарианские блюда
131,47595,европейская
132,47595,десерты
133,46867,европейская
134,46867,десерты
135,46867,русская
136,37886,европейская
137,37886,коктейли
138,47403,мексиканская
139,47403,коктейли
140,30572,грузинская
141,30572,кавказская
142,30572,шаурма
143,39360,европейская
144,39360,коктейли
145,39360,суши
146,45325,европейская
147,45325,смешанная
148,45325,бургеры
149,45325,коктейли
150,45325,закуски
151,41985,коктейли
152,41985,крафтовое пиво
153,41985,американская
154,33577,коктейли
155,33577,закуски
156,42227,европейская
157,42227,закуски
158,40942,европейская
159,40942,стритфуд
160,40942,бургеры
161,42377,смешанная
162,42377,суши
163,42377,пицца
164,30691,европейская
165,30691,крафтовое пиво
166,37126,азиатская
167,37126,китайская
168,37126,рамен
169,39511,сладости
170,42402,европейская
171,42402,смешанная
172,41691,японская
173,30710,коктейли
174,39077,стритфуд
175,39256,сладости
176,43201,азиатская
177,43201,вьетнамская
178,38507,европейская
179,44568,стритфуд
180,44568,шаурма
181,44568,восточная
182,30631,смешанная
183,32795,европейская
184,32795,русская
185,38501,стритфуд
186,38501,бургеры
187,38501,американская
188,30545,японская
189,32869,европейская
190,32869,смешанная
191,32869,суши
192,30629,вегетарианская
193,30629,вегетарианские блюда
194,42299,тайская
195,42299,азиатская
196,39847,европейская
197,39847,грузинская
198,39464,итальянская
199,39464,пицца
200,39464,бургеры
201,42039,европейская
202,42039,пицца
203,44179,тайская
204,44179,азиатская
205,44179,стритфуд
206,30770,греческая
207,37109,европейская
208,37109,крафтовое пиво
209,37109,итальянская
210,47098,коктейли
211,47098,закуски
212,46005,сладости
213,46005,закуски
214,46005,спешелти кофе
215,43204,европейская
216,43204,итальянская
217,43204,смешанная
218,43204,бургеры
219,37661,русская
220,30502,европейская
221,30612,стритфуд
222,30612,стейки
223,30612,бургеры
224,30612,американская
225,42103,азиатская
226,42103,японская
227,42103,смешанная
228,42103,суши
229,42103,пицца
230,46905,десерты
231,46905,закуски
232,31122,американская
233,42985,десерты
234,42985,сладости
235,32728,европейская
236,32728,русская
237,44604,пицца
238,44364,европейская
239,44301,узбекская
240,44301,восточная
241,44301,суши
242,46635,европейская
243,46635,коктейли
244,46635,закуски
245,43531,вегетарианская
246,43531,десерты
247,30711,европейская
248,33990,грузинская
249,36154,русская
250,42580,крафтовое пиво
251,42580,закуски
252,43040,крафтовое пиво
253,43040,закуски
254,43048,европейская
255,43048,бургеры
256,38031,стритфуд
257,38031,американская
258,41723,европейская
259,30709,торты на заказ
260,30709,сладости
261,30528,крафтовое пиво
262,30528,американская
263,46204,японская
264,46204,азиатская
265,46204,закуски
266,32605,европейская
267,32605,кавказская
268,32605,смешанная
269,32605,русская
270,35832,пицца
271,35832,американская
272,31446,американская
273,41444,русская
274,41444,пончики
275,30590,европейская
276,30590,русская
277,30590,торты на заказ
278,30590,десерты
279,39121,европейская
280,39121,суши
281,39121,итальянская
282,39121,японская
283,44864,европейская
284,44864,русская
285,38875,европейская
286,38875,русская
287,37291,европейская
288,37291,пицца
289,45021,европейская
290,46480,европейская
291,46480,немецкая
292,43863,греческая
293,43863,средиземноморская
294,43863,стритфуд
295,46259,смешанная
296,30594,азиатская
297,44695,европейская
298,44695,десерты
299,44695,торты на заказ
300,44695,сладости
301,46241,стритфуд
302,46241,крафтовое пиво
303,42435,китайская
304,42435,азиатская
305,40121,крафтовое пиво
306,40121,закуски
307,38333,японская
308,38333,азиатская
309,38333,крафтовое пиво
310,38333,суши
311,36253,американская
312,30583,грузинская
313,43770,стритфуд
314,43770,мексиканская
315,43770,латиноамериканская
316,46627,азиатская
317,46627,японская
318,46627,рамен
319,46627,суши
320,45379,десерты
321,45319,индийская
322,47181,азиатская
323,47181,корейская
324,47181,стритфуд
325,45652,десерты
326,45652,сладости
327,45677,десерты
328,45677,спешелти кофе
329,45677,сладости
330,45348,кавказская
331,43869,американская
332,44356,европейская
