id,title
1,
2,своя пивоварня
3,при отеле
4,можно со своей едой
5,доставка
6,бранч
7,здесь танцуют
8,боулинг
9,ресторан у воды
10,детские мастер-классы
11,парковка
12,панорамный вид
13,заказ кейтеринга
14,детская комната
15,можно с животными
16,караоке
17,шоу-программа
18,кулинарные мастер-классы
19,день святого валентина
20,кальян
21,завтрак
22,кабинки
23,бильярд
24,новогодний корпоратив
25,еда навынос
26,спортивные трансляции
27,стриптиз
28,камин
29,детское меню
30,сборный корпоратив
31,бассейн
32,живая музыка
33,бизнес-ланч
34,dj
35,звезда Michelin
36,здесь живут котики
37,за городом
38,настольные игры
